,mean_pred,lower_conf,upper_conf,adj_close
0,,,,4.778
1,,,,4.766
2,,,,4.392
3,,,,3.84
4,,,,3.222
5,,,,3.16
6,,,,3.492
7,,,,3.48
8,,,,3.41
9,,,,3.628
10,,,,3.968
11,,,,3.978
12,,,,4.128
13,,,,4.382
14,,,,4.06
15,,,,4.044
16,,,,4.2
17,,,,4.258
18,,,,4.19
19,,,,4.11
20,,,,4.144
21,,,,4.07
22,,,,3.988
23,,,,4.184
24,,,,4.39
25,,,,4.252
26,,,,4.09
27,,,,3.918
28,,,,3.92
29,,,,3.806
30,,,,3.58
31,,,,3.52
32,,,,3.664
33,,,,3.756
34,,,,3.83
35,,,,3.754
36,,,,3.758
37,,,,3.82
38,,,,4.026
39,,,,3.84
40,,,,3.98
41,,,,3.95
42,,,,3.94
43,,,,3.974
44,,,,3.896
45,,,,4.09
46,,,,4.212
47,,,,4.21
48,,,,4.108
49,,,,4.18
50,,,,4.142
51,,,,4.034
52,,,,4.144
53,,,,4.224
54,,,,4.396
55,,,,4.188
56,,,,4.046
57,,,,4.211
58,,,,4.154
59,,,,3.974
60,,,,3.912
61,,,,4.02
62,,,,4.106
63,,,,4.28
64,,,,4.396
65,,,,4.081
66,,,,4.12
67,,,,4.198
68,,,,4.224
69,,,,4.092
70,,,,4.086
71,,,,4.086
72,,,,4.048
73,,,,4.048
74,,,,4.108
75,,,,4.15
76,,,,4.108
77,,,,4.046
78,,,,4.01
79,,,,4.13
80,,,,4.15
81,,,,4.144
82,,,,4.17
83,,,,4.272
84,,,,4.2
85,,,,4.238
86,,,,4.368
87,,,,4.282
88,,,,4.25
89,,,,4.354
90,,,,4.98
91,,,,4.888
92,,,,4.996
93,,,,4.926
94,,,,5.872
95,,,,5.607
96,,,,5.968
97,,,,6.16
98,,,,5.934
99,,,,5.898
100,,,,5.978
101,,,,6.198
102,,,,6.68
103,,,,6.914
104,,,,7.094
105,,,,7.064
106,,,,6.866
107,,,,7.066
108,,,,6.87
109,,,,6.47
110,,,,6.298
111,,,,6.062
112,,,,6.312
113,,,,6.474
114,,,,6.41
115,,,,6.304
116,,,,6.11
117,,,,5.706
118,,,,5.92
119,,,,6.162
120,,,,6.272
121,,,,6.34
122,,,,6.452
123,,,,6.526
124,,,,6.018
125,,,,5.1098
126,,,,5.282
127,,,,5.546
128,,,,5.3
129,,,,5.326
130,,,,5.324
131,,,,5.334
132,,,,5.366
133,,,,5.576
134,,,,5.648
135,,,,5.69
136,,,,5.392
137,,,,5.392
138,,,,5.244
139,,,,5.15
140,,,,5.128
141,,,,4.806
142,,,,4.524
143,,,,4.608
144,,,,4.898
145,,,,4.936
146,,,,4.95
147,,,,4.984
148,,,,4.802
